Facility ID,Facility Name,City/Town,State,ZIP Code,County/Parish,OP_18a,OP_18b,OP_18c,OP_18d,OP_22,OP_23,ed_volume,Hospital Type,Hospital Ownership,Emergency Services
010001,SOUTHEAST HEALTH MEDICAL CENTER,DOTHAN,AL,36301,HOUSTON,214.0,212.0,,,3.0,82.0,very high,Acute Care Hospitals,Government - Hospital District or Authority,Yes
010005,MARSHALL MEDICAL CENTERS,BOAZ,AL,35957,MARSHALL,146.0,143.0,242.0,332.0,3.0,42.0,very high,Acute Care Hospitals,Government - Hospital District or Authority,Yes
010006,NORTH ALABAMA MEDICAL CENTER,FLORENCE,AL,35630,LAUDERDALE,158.0,147.0,218.0,328.0,1.0,81.0,high,Acute Care Hospitals,Proprietary,Yes
010007,MIZELL MEMORIAL HOSPITAL,OPP,AL,36467,COVINGTON,137.0,130.0,242.0,295.0,1.0,,low,Acute Care Hospitals,Voluntary non-profit - Private,Yes
010011,ST. VINCENT'S EAST,BIRMINGHAM,AL,35235,JEFFERSON,168.0,158.0,,371.0,,71.0,,Acute Care Hospitals,Voluntary non-profit - Private,Yes
010012,DEKALB REGIONAL MEDICAL CENTER,FORT PAYNE,AL,35968,DE KALB,174.0,164.0,346.0,292.0,2.0,,medium,Acute Care Hospitals,Proprietary,Yes
010016,SHELBY BAPTIST MEDICAL CENTER,ALABASTER,AL,35007,SHELBY,180.0,182.0,96.0,,2.0,,medium,Acute Care Hospitals,Voluntary non-profit - Private,Yes
010019,HELEN KELLER HOSPITAL,SHEFFIELD,AL,35660,COLBERT,189.0,188.0,,,3.0,75.0,medium,Acute Care Hospitals,Government - Hospital District or Authority,Yes
010021,DALE MEDICAL CENTER,OZARK,AL,36360,DALE,152.0,148.0,279.0,260.0,2.0,,low,Acute Care Hospitals,Government - Hospital District or Authority,Yes
010022,FLOYD CHEROKEE MEDICAL CENTER,CENTRE,AL,35960,CHEROKEE,127.0,123.0,,274.0,0.0,,low,Acute Care Hospitals,Proprietary,Yes
010023,BAPTIST MEDICAL CENTER SOUTH,MONTGOMERY,AL,36116,MONTGOMERY,225.0,220.0,280.0,,2.0,,high,Acute Care Hospitals,Government - Hospital District or Authority,Yes
010024,JACKSON HOSPITAL & CLINIC INC,MONTGOMERY,AL,36106,MONTGOMERY,139.0,138.0,136.0,185.0,1.0,,high,Acute Care Hospitals,Voluntary non-profit - Private,Yes
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,OPELIKA,AL,36801,LEE,205.0,200.0,303.0,,5.0,,high,Acute Care Hospitals,Government - Hospital District or Authority,Yes
